Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Motte;Terre;PV;Rizohides;Lichen;Aul.pal;Aul.tur;Dic.acu;Dis.sp;Dre.arc;Hep.sp ;Mee.tri;Poh.sp;Ple.sch;Pol.sp;Rac.lan;Sco.cos;Sco.rev;Tom.nit;Rac.can;Cin.lat;Bry.pse;Rhi.pun;Rhi.gra;Phi.tom;Cal.ric;Bra.alb/Lep.rip;Autre.sp;Somme
A1;PR;Non Brouté;Exclos;2;;10;;5;;15;25;20;;5;;5;10;;5;;;;;;;;;;;;;100
A1;PR;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
A1;PR;Non Brouté;Exclos;4;25;15;;;;5;10;35;;5;;;5;;;;;;;;;;;;;;;100
A1;PR;Brouté;Témoin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
A1;PR;Brouté;Témoin;2;15;25;;10;;5;;;;;;;10;;10;;;;;;;;;;;;25;100
A1;PR;Brouté;Témoin;3;15;50;;5;;;;;;;;;10;;10;;;;;;;;;;;;10;100
A1;PR;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
B1;PR;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
B1;PR;Non Brouté;Exclos;2;25;25;15;10;;5;5;;;;;5;5;5;;;;;;;;;;;;;;100
B1;PR;Non Brouté;Exclos;3;5;50;;;;20;5;;;;;;20;;;;;;;;;;;;;;;100
B1;PR;Non Brouté;Exclos;4;5;10;;10;;25;50;;;;;;;;;;;;;;;;;;;;;100
B1;PR;Brouté;Témoin;1;15;20;;10;;5;5;;;15;;20;;5;;;;;;;;;;;;;5;100
B1;PR;Brouté;Témoin;2;20;30;;10;;5;10;;;10;;10;5;;;;;;;;;;;;;;;100
B1;PR;Brouté;Témoin;3;20;5;;20;;10;15;;;10;;5;5;;10;;;;;;;;;;;;;100
B1;PR;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Brouté;Témoin;1;5;25;20;5;;10;5;;;20;;5;5;;;;;;;;;;;;;;;100
C1;PR;Brouté;Témoin;2;;;;;;;;;;25;;75;;;;;;;;;;;;;;;;100
C1;PR;Brouté;Témoin;3;10;5;25;5;;5;25;;;10;;10;5;;;;;;;;;;;;;;;100
C1;PR;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
C1;PR;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
D1;PR;Brouté;Témoin;1;5;5;;5;;5;10;;;20;;;20;10;;20;;;;;;;;;;;;100
D1;PR;Brouté;Témoin;2;15;15;5;10;;5;;;;15;;;10;;;15;;;;;;;;;;;10;100
D1;PR;Brouté;Témoin;3;15;15;;15;;5;10;;;15;;;5;5;;15;;;;;;;;;;;;100
D1;PR;Brouté;Témoin;4;5;10;;10;;;;;;5;;;35;;;25;;;;;;;;;;;10;100
D1;PR;Non Brouté;Exclos;1;25;5;;25;;;;;;;;;;15;10;;;;;;;;;;;;20;100
D1;PR;Non Brouté;Exclos;2;35;25;;10;;;;;;;;;5;10;;;;;;;;;;;;;15;100
D1;PR;Non Brouté;Exclos;3;25;30;;15;;;;;;;;;;;15;5;;;;;;;;;;;10;100
D1;PR;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
E1;PO;Non Brouté;Exclos;4;;15;;;;15;;;;10;;10;15;;;;;;;;;;;;;;35;100
E1;PO;Brouté;Témoin;1;10;15;10;;;10;;;;;;;30;;15;10;;;;;;;;;;;;100
E1;PO;Brouté;Témoin;2;10;10;15;;;15;;10;;5;;;20;5;10;;;;;;;;;;;;;100
E1;PO;Brouté;Témoin;3;10;20;10;;;10;;;;;;;30;5;;15;;;;;;;;;;;;100
E1;PO;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
F1;PO;Non Brouté;Exclos;1;15;30;;;;5;5;;;15;;;;;;25;;;;;;;;;;;5;100
F1;PO;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
F1;PO;Non Brouté;Exclos;3;40;5;;5;;15;;;;20;;;;;;5;;5;;;;;;;;;5;100
F1;PO;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
F1;PO;Brouté;Témoin;1;25;;;15;;10;10;;;15;;;10;;;10;;;5;;;;;;;;;100
F1;PO;Brouté;Témoin;2;15;5;5;5;;10;25;;;10;;10;5;;;5;;;5;;;;;;;;;100
F1;PO;Brouté;Témoin;3;10;10;15;15;;5;25;;;5;;5;5;;;5;;;;;;;;;;;;100
F1;PO;Brouté;Témoin;4;15;5;5;20;;5;5;;;15;;5;5;;;20;;;;;;;;;;;;100
G1;PO;Non Brouté;Exclos;1;5;5;;10;;15;30;;;10;;;15;;;5;;;;;;;;;;;5;100
G1;PO;Non Brouté;Exclos;2;50;20;;;;;;;;10;;10;;;;;;;;;;;;;;;10;100
G1;PO;Non Brouté;Exclos;3;20;10;;10;;5;40;;;10;;;5;;;;;;;;;;;;;;;100
G1;PO;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
G1;PO;Brouté;Témoin;1;25;5;30;;10;10;;;;;;;5;;;5;;;;;;;;;;;10;100
G1;PO;Brouté;Témoin;2;10;20;10;20;;20;;20;;;;;;;;;;;;;;;;;;;;100
G1;PO;Brouté;Témoin;3;20;15;15;;10;5;5;;;;;20;;;;5;;;;;;;;;;;5;100
G1;PO;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
H1;PO;Non Brouté;Exclos;1;75;5;;;;;;;;;10;;;;;;;;;;;;;;;;10;100
H1;PO;Non Brouté;Exclos;2;10;10;;;;5;;;;10;;;25;20;;15;;;;;;;;;;;5;100
H1;PO;Non Brouté;Exclos;3;10;15;;5;;25;5;;;5;;;25;5;;5;;;;;;;;;;;;100
H1;PO;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
H1;PO;Brouté;Témoin;1;5;5;;15;;5;10;;;15;;20;5;15;;5;;;;;;;;;;;;100
H1;PO;Brouté;Témoin;2;5;5;;25;;15;;;;15;;;15;15;;5;;;;;;;;;;;;100
H1;PO;Brouté;Témoin;3;10;5;5;15;;5;5;;;20;;;;;;5;;;;;30;;;;;;;100
H1;PO;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;1;Brouté;Témoin;1;20;20;15;;;10;;;;;5;;;;;20;;;;;;5;;;;;5;100
ROC3;1;Brouté;Témoin;2;25;15;20;;;5;;;;;5;;;;;20;;;;;;5;;;;;5;100
ROC3;1;Brouté;Témoin;3;20;20;10;;;;;;;;10;;;;;30;;;;;;5;;;;;5;100
ROC3;1;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;1;Non Brouté;Exclos;1;10;30;10;;5;5;;;;;5;;;;;15;15;;;;;5;;;;;;100
ROC3;1;Non Brouté;Exclos;2;10;40;10;;5;5;;;;;5;;;;;5;10;;;;;10;;;;;;100
ROC3;1;Non Brouté;Exclos;3;15;35;15;;"
";5;;;;;;;;;;;15;;;;;15;;;;;;100
ROC3;1;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;6;Brouté;Témoin;1;25;25;10;;;;;;5;;5;;;;;10;10;;;;;5;;;5;;;100
ROC3;6;Brouté;Témoin;2;25;20;10;;5;5;;;5;;5;;;;;5;15;;;;;5;;;;;;100
ROC3;6;Brouté;Témoin;3;20;20;5;;;5;;;5;;10;;;;;10;10;;;;;5;10;;;;;100
ROC3;6;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;6;Non Brouté;Exclos;1;20;15;15;;;5;;;;;10;;;;;15;15;;;;;5;;;;;;100
ROC3;6;Non Brouté;Exclos;2;15;10;10;;5;10;;;;;10;;;;;20;15;;;;;5;;;;;;100
ROC3;6;Non Brouté;Exclos;3;15;40;5;;5;5;;;;;5;;;;;10;10;;;;;5;;;;;;100
ROC3;6;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;10;Brouté;Témoin;1;20;10;15;;;5;;;5;;10;;;;;15;;;;10;;;;;10;;;100
ROC3;10;Brouté;Témoin;2;10;15;10;;;;;;;;10;;;;;15;;;;10;10;10;;;10;;;100
ROC3;10;Brouté;Témoin;3;15;10;10;;;10;;;;;10;;;;;15;;;;15;5;10;;;;;;100
ROC3;10;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;10;Non Brouté;Exclos;1;10;30;10;;;20;;;;;10;;;;;5;10;;;;;5;;;;;;100
ROC3;10;Non Brouté;Exclos;2;10;40;10;;;;;;;;10;;;;;10;10;;;;;10;;;;;;100
ROC3;10;Non Brouté;Exclos;3;10;40;10;;;;5;;;;10;;;;;5;10;;;10;;;;;;;;100
ROC3;10;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;14;Brouté;Témoin;1;;5;10;;;;;;10;;;;;;;;5;;;;30;;30;;10;;;100
ROC3;14;Brouté;Témoin;2;;25;;;;;;;20;;;;;;;20;;;;;;5;;;15;15;;100
ROC3;14;Brouté;Témoin;3;;20;;;;;;;25;;;;;;;30;;;;;5;;;;20;;;100
ROC3;14;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;14;Non Brouté;Exclos;1;5;65;;;;;;;;;;;;;;;10;;;;;;;;15;;5;100
ROC3;14;Non Brouté;Exclos;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;14;Non Brouté;Exclos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC3;14;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;1;Brouté;Témoin;1;30;25;10;;;;;5;;;5;;;;;;10;;;;;;;;;;15;100
ROC6;1;Brouté;Témoin;2;50;5;5;;;;;;;;5;;;;;;20;;;15;;;;;;;;100
ROC6;1;Brouté;Témoin;3;40;5;;;;;;5;;;;;;;;;5;;;;5;;;;;;40;100
ROC6;1;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;1;Non Brouté;Exclos;1;10;;50;;;;;;;;10;;;;;;;;;15;15;;;;;;;100
ROC6;1;Non Brouté;Exclos;2;10;5;65;;;;;;;;;;;;;;;;;;10;;;;;;;90
ROC6;1;Non Brouté;Exclos;3;15;5;70;;;;;;;;10;;;;;;;;;;;;;;;;;100
ROC6;1;Non Brouté;Exclos;4;5;5;55;;;;;;;;5;;;;;;5;;;15;;;;;;;10;100
ROC6;6;Non Brouté;Exclos;1;5;5;;;;;;;;;;75;;;;5;5;;;;;;;;;;5;100
ROC6;6;Non Brouté;Exclos;2;10;5;55;;;;;;;;;5;;;;;;;;;;10;10;;;;5;100
ROC6;6;Non Brouté;Exclos;3;5;50;;;25;5;;;;;;;;;;;;;;;;;;;;;15;100
ROC6;6;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;6;Brouté;Témoin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100
ROC6;6;Brouté;Témoin;2;65;5;;;;;;;5;;;;;;;;5;;;;;;;;5;;10;95
ROC6;6;Brouté;Témoin;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC6;6;Brouté;Témoin;4;40;15;5;;;;;;;;;;;;;;5;;;;10;;;;5;;15;95
