Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Motte;Terre;PV;Rizohides;Lichen;Aul.pal;Aul.tur;Dic.acu;Dis.sp;Dre.arc;Hep.sp ;Mee.tri;Poh.sp;Ple.sch;Pol.sp;Rac.lan;Sco.cos;Sco.rev;Tom.nit;Rac.can;Cin.lat;Bry.pse;Rhi.pun;Rhi.gra;Phi.tom;Cal.ric;Bra.alb/Lep.rip;Autre.sp;Somme
ROC8;10;Non Brouté;Exclos;2;20;10;10;;;5;;;5;;;5;;;;10;;;;;10;10;;;15;;;100
ROC8;10;Non Brouté;Exclos;3;10;20;10;;;5;;;5;;5;;;;;10;;;;;10;15;;;10;;;100
ROC8;10;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;10;Brouté;Témoin;1;20;25;10;;25;10;;;;;;;;;;10;;;;;;;;;;;;100
ROC8;10;Brouté;Témoin;2;20;30;15;;;15;;;;;;;;;;10;;;;;;;;;;;10;100
ROC8;10;Brouté;Témoin;3;15;25;10;;;15;;;;;5;;;;;10;;;;;;;10;;;;10;100
ROC8;10;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;14;Non Brouté;Exclos;1;10;20;15;;;20;;;;;;;;;;10;;;;;;;15;;;;10;100
ROC8;14;Non Brouté;Exclos;2;10;25;20;;;10;;;;;;;;;15;;;;;;;;10;;;;10;100
ROC8;14;Non Brouté;Exclos;3;10;25;35;;;5;;;;;;;;;;5;;;10;;;;;;10;;;100
ROC8;14;Non Brouté;Exclos;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ROC8;14;Brouté;Témoin;1;10;15;10;;;10;;;;;5;;;;;;10;;;;;30;;;;;10;100
ROC8;14;Brouté;Témoin;2;30;30;20;;;5;;;;;;;;;;10;;;;;;;;;;;5;100
ROC8;14;Brouté;Témoin;3;20;25;20;;;5;;;;;;;;;;10;;;;;;5;;;;;15;100
ROC8;14;Brouté;Témoin;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
