Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Sp;nb_ind;m_frais;nb_emb1;nb_emb2;nb_emb3;nb_emb4;nb_emb5;nb_emb6;nb_emb7;nb_emb8;nb_emb9;nb_emb10;nb_emb_moy;m_vert;m_brun;Fonct_H1;Fonct_H2;Fonct_H3;Fonct_H4;Fonct_H5;Fonct_H6;Fonct_H7;Fonct_H8;Fonct_H9;Fonct_H10;Fonct_H_moy;Vert_H1;Vert_H2;Vert_H3;Vert_H4;Vert_H5;Vert_H6;Vert_H7;Vert_H8;Vert_H9;Vert_H10;Vert_H_moy;An1_H1;An1_H2;An1_H3;An1_H4;An1_H5;An1_H6;An1_H7;An1_H8;An1_H9;An1_H10;An1_H_moy;An2_H1;An2_H2;An2_H3;An2_H4;An2_H5;An2_H6;An2_H7;An2_H8;An2_H9;An2_H10;An2_H_moy;An3_H1;An3_H2;An3_H3;An3_H4;An3_H5;An3_H6;An3_H7;An3_H8;An3_H9;An3_H10;An3_H_moy;An4_H1;An4_H2;An4_H3;An4_H4;An4_H5;An4_H6;An4_H7;An4_H8;An4_H9;An4_H10;An4_H_moy;An5_H1;An5_H2;An5_H3;An5_H4;An5_H5;An5_H6;An5_H7;An5_H8;An5_H9;An5_H10;An5_H_moy;pH_1;pH_2;pH_3;pH_moy;T_pièce;P_Ulaval;P_CNETE;Si;LA;dNormC13;dNNorm15;%C;%N;Ratio_CN
ROC6;1;Non Brouté;Exclos;Phi.tom;10;0,1578;3;1;1;2;1;1;2;3;7;3;2,4;0,0012;0,0322;2,9;3,2;2,9;2,7;2;2,3;2,8;1,9;3;2,6;2,63;0,6;0;0;0;0;0,3;0;0;0,5;0,4;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,56;6,5;;6,53;21,7;0,17;;;3,45823927765237;-26,9221922459722;-0,935051964648715;17,4935219;0,4938897;35,4198961832976
ROC6;1;Non Brouté;Exclos;Bry.pse;10;0,1715;1;1;1;1;3;3;4;2;3;4;2,3;0,001;0,0289;2,1;2;1,6;1,3;1,2;1,9;2,6;2,5;2,4;1,5;1,91;0;0;0;0;0,2;0;0;0,2;0,1;0,3;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,44;6,48;;6,46;21,7;0,1;;;3,37659456461453;-26,1845234013591;-1,09964100264766;22,2842077;0,6315418;35,285404228192
ROC6;1;Brouté;Témoin;Sco.rev;10;0,7145;3;4;3;6;8;7;3;2;4;4;4,4;0,0071;0,1033;2,6;2,8;3;3,7;2,6;3,6;2,9;2,1;3,3;2,3;2,89;0;0;0,6;0,9;0;1;0,4;0;0;0;0,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,5;6,5;;6,5;21,7;0,12;;;10,1376228775693;-25,7142843669899;-0,943080698209639;15,0329496;0,4332082;34,7014428628082
ROC6;1;Brouté;Témoin;Dis.sp;10;0,0427;1;1;1;3;1;1;1;2;2;3;1,6;0,0002;0,0071;1,7;1,8;2,7;3,4;3,6;3,1;4;1,8;2,4;3,1;2,76;0;0;0;0,8;0;0;0;0,2;0,7;0;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,45;6,68;6,6;6,57666666666667;21,7;0,09;;;2,04561403508772;-23,3432059378765;-1,33046709252422;28,2531906;0,5481248;51,5451783973285
ROC6;1;Brouté;Témoin;Mee.tri;10;0,4221;3;1;1;2;3;1;1;1;1;1;1,5;0,001;0,0339;3,2;2,1;2;0,8;2,2;2,7;3,2;3;3,6;2,7;2,55;0;0,3;0;0,4;0,3;0;0,4;0,5;0;0,6;0,25;0,4;0,5;0,5;0,4;0,6;0,3;0,5;0,4;;;0,45;0,6;0,6;0,7;0,8;0,7;0,6;0,4;;;;0,6285714286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,86;6,87;;6,865;21,7;0,11;;;6,5044776119403;-24,4566683448396;-0,944084289904754;20,3422831;0,528938;38,4587288113163
ROC6;1;Brouté;Témoin;Aul.pal;1;0,1957;3;;;;;;;;;;3;0;0,04;3,4;;;;;;;;;;3,4;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,87;6,24;6,32;6,14333333333333;21,7;;1123;186;1,7433081674674;-25,6605995723685;-1,1217200199402;13,2371281;0,3171101;41,7430037706147
ROC6;1;Brouté;Témoin;Bry.pse;10;0,0603;1;1;1;1;1;1;1;1;1;2;1,1;0,0002;0,0142;1,4;1,5;0,9;1,7;1,8;1,2;1,3;1,7;1,4;1,7;1,46;0;0;0;0,2;0,1;0;0,3;0;0;0,2;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,75;6,76;;6,755;21,7;;940;225;1,95918367346939;-26,1417743982347;-0,961145348721718;20,5346948;0,6273235;32,7338204291725
ROC6;6;Non Brouté;Exclos;Aul.tur;10;1,7225;1;4;1;3;4;4;1;2;1;1;2,2;0,0459;0,0604;4,8;5,7;5,4;7;8,8;8,5;4;4,6;3,5;4,4;5,67;4,8;1,3;3;3,5;2,5;4;3,2;1;1,5;4;2,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5,97;;5,985;21,7;0,05;;;16,405750798722;-25,7093135526731;0,905535204193118;36,9354621;0,738157;50,03740681183
ROC6;6;Non Brouté;Exclos;Aul.pal;10;3,0696;2;4;3;7;5;9;6;3;4;2;4,5;0,0292;0,2785;6,2;4,9;7,5;4,7;4,2;5,3;4,5;4,7;4,7;4,9;5,16;0,5;0,7;1,7;0,5;0,6;0,8;1,2;1,3;2;0,5;0,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,43;6,25;;6,34;21,7;0,06;;;28,532477947073;-26,7203771847101;0,171909675063685;25,2011545;0,775147;32,5114520213585
ROC6;6;Non Brouté;Exclos;Poh.nut;10;0,082;2;1;5;5;1;3;1;3;1;2;2,4;0,0018;0,0067;2,9;2,5;3,5;1,3;2,5;2,6;2,3;1,5;2,3;1,1;2,25;0;1;0;0,3;0,6;0,5;0,8;0,3;0,8;0;0,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,86;5,82;;5,84;21,7;0,07;490;222;1,91025641025641;-25,5741074032562;-0,282717362823638;29,5103836;1,0195583;28,9442826369027
