"Titre de tracé : 20177023"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177023, SEN S/N: 20177023)","Coupleur détaché (LGR S/N: 20177023)","Pile défectueuse (LGR S/N: 20177023)","Coupleur attaché (LGR S/N: 20177023)","Hôte connecté (LGR S/N: 20177023)","Fin de fichier (LGR S/N: 20177023)"
117,07/18/18 05:57:23 PM,11.819,,,,,
118,07/18/18 06:57:23 PM,11.819,,,,,
119,07/18/18 07:57:23 PM,11.139,,,,,
120,07/18/18 08:57:23 PM,10.455,,,,,
121,07/18/18 09:57:23 PM,9.571,,,,,
122,07/18/18 10:57:23 PM,8.879,,,,,
123,07/18/18 11:57:23 PM,8.182,,,,,
124,07/19/18 12:57:23 AM,7.381,,,,,
125,07/19/18 01:57:23 AM,6.877,,,,,
126,07/19/18 02:57:23 AM,6.268,,,,,
127,07/19/18 03:57:23 AM,5.860,,,,,
128,07/19/18 04:57:23 AM,5.450,,,,,
129,07/19/18 05:57:23 AM,5.347,,,,,
130,07/19/18 06:57:23 AM,5.244,,,,,
131,07/19/18 07:57:23 AM,5.141,,,,,
132,07/19/18 08:57:23 AM,5.347,,,,,
133,07/19/18 09:57:23 AM,5.655,,,,,
134,07/19/18 10:57:23 AM,5.962,,,,,
135,07/19/18 11:57:23 AM,5.962,,,,,
136,07/19/18 12:57:23 PM,5.860,,,,,
137,07/19/18 01:57:23 PM,6.064,,,,,
138,07/19/18 02:57:23 PM,6.166,,,,,
139,07/19/18 03:57:23 PM,5.757,,,,,
140,07/19/18 04:57:23 PM,5.450,,,,,
141,07/19/18 05:57:23 PM,5.347,,,,,
142,07/19/18 06:57:23 PM,5.244,,,,,
143,07/19/18 07:57:23 PM,5.037,,,,,
144,07/19/18 08:57:23 PM,4.831,,,,,
145,07/19/18 09:57:23 PM,4.727,,,,,
146,07/19/18 10:57:23 PM,4.519,,,,,
147,07/19/18 11:57:23 PM,4.415,,,,,
148,07/20/18 12:57:23 AM,4.207,,,,,
149,07/20/18 01:57:23 AM,3.998,,,,,
150,07/20/18 02:57:23 AM,3.893,,,,,
151,07/20/18 03:57:23 AM,3.578,,,,,
152,07/20/18 04:57:23 AM,3.367,,,,,
153,07/20/18 05:57:23 AM,3.261,,,,,
154,07/20/18 06:57:23 AM,3.261,,,,,
155,07/20/18 07:57:23 AM,3.472,,,,,
156,07/20/18 08:57:23 AM,3.683,,,,,
157,07/20/18 09:57:23 AM,4.102,,,,,
158,07/20/18 10:57:23 AM,4.623,,,,,
159,07/20/18 11:57:23 AM,5.552,,,,,
160,07/20/18 12:57:23 PM,6.370,,,,,
161,07/20/18 01:57:23 PM,6.268,,,,,
162,07/20/18 02:57:23 PM,6.268,,,,,
163,07/20/18 03:57:23 PM,6.573,,,,,
164,07/20/18 04:57:23 PM,6.775,,,,,
165,07/20/18 05:57:23 PM,6.573,,,,,
166,07/20/18 06:57:23 PM,6.471,,,,,
167,07/20/18 07:57:23 PM,6.573,,,,,
168,07/20/18 08:57:23 PM,6.775,,,,,
169,07/20/18 09:57:23 PM,6.471,,,,,
170,07/20/18 10:57:23 PM,6.064,,,,,
171,07/20/18 11:57:23 PM,5.655,,,,,
172,07/21/18 12:57:23 AM,5.347,,,,,
173,07/21/18 01:57:23 AM,5.141,,,,,
174,07/21/18 02:57:23 AM,5.037,,,,,
175,07/21/18 03:57:23 AM,4.934,,,,,
176,07/21/18 04:57:23 AM,4.623,,,,,
177,07/21/18 05:57:23 AM,4.102,,,,,
178,07/21/18 06:57:23 AM,3.788,,,,,
179,07/21/18 07:57:23 AM,3.788,,,,,
180,07/21/18 08:57:23 AM,3.788,,,,,
181,07/21/18 09:57:23 AM,4.311,,,,,
182,07/21/18 10:57:23 AM,4.831,,,,,
183,07/21/18 11:57:23 AM,5.347,,,,,
184,07/21/18 12:57:23 PM,5.757,,,,,
185,07/21/18 01:57:23 PM,6.370,,,,,
186,07/21/18 02:57:23 PM,6.978,,,,,
187,07/21/18 03:57:23 PM,6.674,,,,,
188,07/21/18 04:57:23 PM,6.370,,,,,
189,07/21/18 05:57:23 PM,5.962,,,,,
190,07/21/18 06:57:23 PM,5.552,,,,,
191,07/21/18 07:57:23 PM,5.347,,,,,
192,07/21/18 08:57:23 PM,5.141,,,,,
193,07/21/18 09:57:23 PM,4.831,,,,,
194,07/21/18 10:57:23 PM,4.415,,,,,
195,07/21/18 11:57:23 PM,4.102,,,,,
196,07/22/18 12:57:23 AM,3.893,,,,,
197,07/22/18 01:57:23 AM,3.683,,,,,
198,07/22/18 02:57:23 AM,3.472,,,,,
199,07/22/18 03:57:23 AM,3.367,,,,,
200,07/22/18 04:57:23 AM,3.261,,,,,
201,07/22/18 05:57:23 AM,3.155,,,,,
202,07/22/18 06:57:23 AM,3.049,,,,,
203,07/22/18 07:57:23 AM,3.049,,,,,
204,07/22/18 08:57:23 AM,3.155,,,,,
205,07/22/18 09:57:23 AM,3.472,,,,,
206,07/22/18 10:57:23 AM,3.683,,,,,
207,07/22/18 11:57:23 AM,3.683,,,,,
208,07/22/18 12:57:23 PM,3.578,,,,,
209,07/22/18 01:57:23 PM,3.683,,,,,
210,07/22/18 02:57:23 PM,3.788,,,,,
211,07/22/18 03:57:23 PM,3.788,,,,,
212,07/22/18 04:57:23 PM,3.788,,,,,
213,07/22/18 05:57:23 PM,3.998,,,,,
214,07/22/18 06:57:23 PM,4.102,,,,,
215,07/22/18 07:57:23 PM,4.207,,,,,
216,07/22/18 08:57:23 PM,4.102,,,,,
217,07/22/18 09:57:23 PM,3.893,,,,,
218,07/22/18 10:57:23 PM,3.578,,,,,
219,07/22/18 11:57:23 PM,3.261,,,,,
220,07/23/18 12:57:23 AM,2.837,,,,,
221,07/23/18 01:57:23 AM,2.624,,,,,
222,07/23/18 02:57:23 AM,2.303,,,,,
223,07/23/18 03:57:23 AM,2.088,,,,,
224,07/23/18 04:57:23 AM,1.872,,,,,
225,07/23/18 05:57:23 AM,1.764,,,,,
226,07/23/18 06:57:23 AM,1.656,,,,,
227,07/23/18 07:57:23 AM,1.764,,,,,
228,07/23/18 08:57:23 AM,1.872,,,,,
229,07/23/18 09:57:23 AM,2.088,,,,,
230,07/23/18 10:57:23 AM,2.410,,,,,
231,07/23/18 11:57:23 AM,3.049,,,,,
232,07/23/18 12:57:23 PM,3.472,,,,,
233,07/23/18 01:57:23 PM,4.102,,,,,
234,07/23/18 02:57:23 PM,4.102,,,,,
235,07/23/18 03:57:23 PM,4.831,,,,,
236,07/23/18 04:57:23 PM,5.860,,,,,
237,07/23/18 05:57:23 PM,6.064,,,,,
238,07/23/18 06:57:23 PM,5.962,,,,,
239,07/23/18 07:57:23 PM,5.552,,,,,
240,07/23/18 08:57:23 PM,4.934,,,,,
241,07/23/18 09:57:23 PM,4.207,,,,,
242,07/23/18 10:57:23 PM,3.578,,,,,
243,07/23/18 11:57:23 PM,3.049,,,,,
244,07/24/18 12:57:23 AM,2.624,,,,,
245,07/24/18 01:57:23 AM,2.410,,,,,
246,07/24/18 02:57:23 AM,2.195,,,,,
247,07/24/18 03:57:23 AM,2.088,,,,,
248,07/24/18 04:57:23 AM,1.980,,,,,
249,07/24/18 05:57:23 AM,1.980,,,,,
250,07/24/18 06:57:23 AM,1.980,,,,,
251,07/24/18 07:57:23 AM,2.088,,,,,
252,07/24/18 08:57:23 AM,2.088,,,,,
253,07/24/18 09:57:23 AM,2.303,,,,,
254,07/24/18 10:57:23 AM,2.410,,,,,
255,07/24/18 11:57:23 AM,2.730,,,,,
256,07/24/18 12:57:23 PM,3.049,,,,,
257,07/24/18 01:57:23 PM,3.049,,,,,
258,07/24/18 02:57:23 PM,3.155,,,,,
259,07/24/18 03:57:23 PM,3.261,,,,,
260,07/24/18 04:57:23 PM,3.367,,,,,
261,07/24/18 05:57:23 PM,3.578,,,,,
262,07/24/18 06:57:23 PM,3.472,,,,,
263,07/24/18 07:57:23 PM,3.472,,,,,
264,07/24/18 08:57:23 PM,3.261,,,,,
265,07/24/18 09:57:23 PM,3.049,,,,,
266,07/24/18 10:57:23 PM,2.837,,,,,
267,07/24/18 11:57:23 PM,2.624,,,,,
268,07/25/18 12:57:23 AM,2.303,,,,,
269,07/25/18 01:57:23 AM,2.088,,,,,
270,07/25/18 02:57:23 AM,1.872,,,,,
271,07/25/18 03:57:23 AM,1.764,,,,,
272,07/25/18 04:57:23 AM,1.656,,,,,
273,07/25/18 05:57:23 AM,1.548,,,,,
274,07/25/18 06:57:23 AM,1.439,,,,,
275,07/25/18 07:57:23 AM,1.330,,,,,
276,07/25/18 08:57:23 AM,1.221,,,,,
277,07/25/18 09:57:23 AM,1.221,,,,,
278,07/25/18 10:57:23 AM,1.112,,,,,
279,07/25/18 11:57:23 AM,1.112,,,,,
280,07/25/18 12:57:23 PM,1.330,,,,,
281,07/25/18 01:57:23 PM,1.872,,,,,
282,07/25/18 02:57:23 PM,2.517,,,,,
283,07/25/18 03:57:23 PM,3.367,,,,,
284,07/25/18 04:57:23 PM,3.893,,,,,
285,07/25/18 05:57:23 PM,4.519,,,,,
286,07/25/18 06:57:23 PM,4.311,,,,,
287,07/25/18 07:57:23 PM,3.893,,,,,
288,07/25/18 08:57:23 PM,3.261,,,,,
289,07/25/18 09:57:23 PM,2.943,,,,,
290,07/25/18 10:57:23 PM,2.624,,,,,
291,07/25/18 11:57:23 PM,2.410,,,,,
292,07/26/18 12:57:23 AM,2.195,,,,,
293,07/26/18 01:57:23 AM,1.872,,,,,
294,07/26/18 02:57:23 AM,1.764,,,,,
295,07/26/18 03:57:23 AM,1.548,,,,,
296,07/26/18 04:57:23 AM,1.439,,,,,
297,07/26/18 05:57:23 AM,1.330,,,,,
298,07/26/18 06:57:23 AM,1.330,,,,,
299,07/26/18 07:57:23 AM,1.439,,,,,
300,07/26/18 08:57:23 AM,1.656,,,,,
301,07/26/18 09:57:23 AM,2.195,,,,,
302,07/26/18 10:57:23 AM,3.049,,,,,
303,07/26/18 11:57:23 AM,3.788,,,,,
304,07/26/18 12:57:23 PM,4.519,,,,,
305,07/26/18 01:57:23 PM,4.831,,,,,
306,07/26/18 02:57:23 PM,5.757,,,,,
307,07/26/18 03:57:23 PM,6.370,,,,,
308,07/26/18 04:57:23 PM,6.573,,,,,
309,07/26/18 05:57:23 PM,6.370,,,,,
