Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Heure_NDVI;Mesure_NDVI;Ombre_NDVI;Red_i   ;NIR_i   ;Red_r   ;NIR_r   ;Blue_i  ;Blue_r  ;Green_i ;Green_r ;Remarque_NDVI;Heure_PRI;Mesure_PRI;Ombre_PRI;531_i   ;570_i   ;531_r   ;570_r   ;Remarque_PRI;;
16/07/2018;ROC3;10;Exclos;NO;464;13:37:00;;Ombre;205,1537;136,0327;5,43961;11,28953;71,70356;0,8582489;88,80929;1,86515;;;;Ombre;42,02979;45,63088;0,7975284;0,8366211;;;
16/07/2018;ROC3;10;Temoin;NE;470;;;;203,9146;135,1207;4,789751;11,84077;71,16798;0,762712;88,0665;1,814766;;;;;41,18763;44,9168;0,7154505;0,7751155;;;
16/07/2018;ROC3;10;Temoin;SE;467;;;Ombre;224,7624;149,7681;4,235458;11,76172;77,90219;0,6129677;97,07123;1,57966;;;;Ombre;41,05136;44,73991;0,6319977;0,7015903;;;
16/07/2018;ROC3;10;Temoin;SO;468;;;Ombre;222,9436;148,3076;3,849555;11,11275;77,22365;0,5962391;96,1688;1,498991;;;;Ombre;40,52945;44,24038;0,5763729;0,637721;;;
16/07/2018;ROC3;10;Temoin;NO;469;;;;204,9502;135,9051;4,539695;11,40364;71,66088;0,7367849;89,15462;1,749361;;;;;41,28984;45,07075;0,6699194;0,7231651;;;
16/07/2018;ROC3;6;Exclos;NE;488;;;;224,1664;149,5257;3,536631;10,38101;77,3026;0,5784623;96,79594;1,352082;;;;;43,37886;47,15895;0,5711229;0,6187111;;;
16/07/2018;ROC3;6;Exclos;SE;489;;;;219,6644;145,7119;3,94844;11,2286;76,21223;0,6691432;95,06601;1,540316;;;;;43,5015;47,37842;0,5188888;0,5680012;;;
16/07/2018;ROC3;6;Exclos;SO;487;;;Ombre;207,4756;137,946;2,415254;10,19957;72,59975;0,4329109;90,15479;1,130311;;;;;44,60801;48,45282;0,4873576;0,5355804;;;
16/07/2018;ROC3;6;Exclos;NO;381;;;;222,8329;148,5946;2,463086;9,976803;77,30047;0,4097219;96,44246;1,154616;;;;;42,28597;46,23196;0,4989044;0,5341387;;;
16/07/2018;ROC3;6;Temoin;NE;383;;;Ombre;222,5674;148,5605;2,104982;9,900681;76,51951;0,3584879;95,96192;0,9839408;;;;Ombre;41,22852;44,9905;0,3411394;0,3766111;;;
16/07/2018;ROC3;6;Temoin;SE;382;;;Ombre;240,0814;160,9173;2,023082;7,86994;81,69392;0,3415971;102,81;0,8864769;;;;Ombre;43,80947;47,65685;0,3785611;0,4099036;;;
16/07/2018;ROC3;6;Temoin;SO;386;;;;226,0634;151,2806;2,147072;7,947394;77,8894;0,3973359;97,74234;0,9806201;;;;;42,14697;45,95681;0,3854674;0,4188386;;;
16/07/2018;ROC3;6;Temoin;NO;385;;;;222,5541;148,6934;1,968611;8,346797;76,70087;0,3638573;96,17857;0,9548373;;;;;41,72726;45,51132;0,3670768;0,4017901;;;
16/07/2018;ROC3;4;Exclos;NE;484;;;;231,7396;154,2112;5,321927;12,04127;79,50466;0,902017;99,47227;1,850894;;;;;42,23964;45,89948;0,7187787;0,7548316;;;
16/07/2018;ROC3;4;Exclos;SE;485;;;;223,3241;148,568;4,888003;11,67213;77,40716;0,8283429;96,63467;1,711948;;;;;42,99866;46,69873;0,7580754;0,7916109;;;
16/07/2018;ROC3;4;Exclos;SO;483;;;Ombre;227,2981;151,4061;5,563453;11,24113;78,41644;0,905996;97,84985;1,886865;;;;Ombre;41,12359;44,83327;0,6884194;0,7300047;;;
16/07/2018;ROC3;4;Exclos;NO;482;;;;215,1874;143,2713;6,590843;12,0482;74,91277;1,045087;93,16016;2,169068;;;;;41,10178;44,84801;0,8945593;0,9357779;;;
16/07/2018;ROC3;4;Temoin;NE;480;;;;223,7504;148,8837;2,367877;7,45294;77,03375;0,474882;96,00916;0,9321142;;;;Ombre;41,58691;45,3328;0,381733;0,3951014;;;
16/07/2018;ROC3;4;Temoin;SE;481;;;Ombre;235,5941;157,4043;2,567213;7,492134;80,72945;0,5047025;101,1843;0,9817502;;;;Ombre;43,50695;47,19007;0,6227946;0,5959629;;;
16/07/2018;ROC3;4;Temoin;SO;479;;;Ombre;221,2029;147,4859;2,180008;5,991441;76,671;0,4145565;95,40972;0,8102235;;;;Ombre;41,84582;45,68657;0,3667487;0,3811205;;;
16/07/2018;ROC3;4;Temoin;NO;478;;;Ombre;221,3888;147,6273;2,209718;6,096357;76,81184;0,4193269;95,94563;0,83013;;;;Ombre;41,51741;45,23781;0,4481547;0,4638992;;;
16/07/2018;ROC3;14;Exclos;NE;494;;;;233,0141;156,3775;10,09335;17,03874;79,32542;1,537789;99,76385;3,541368;;;;;42,60075;46,2729;1,419292;1,486412;;;
16/07/2018;ROC3;14;Exclos;SE;496;;;;244,5554;164,2305;8,847027;15,74695;82,95071;1,432882;104,9341;3,225929;;;;;43,22351;46,98862;1,285074;1,341776;;;
