Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Temp_eau_thermique;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_Out;Prof_hobo;Hobo_In;Couv_hobo;EC_Smart;Humidity_Smart;Temp_Smart;Flux_CH4;Flux_CO2;Flux_H2O;Eau;Niveau_Eau;Remarque
17/06/19;ROC6;1;Exclos;;349;;;;;;;9;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;1;Exclos;;350;;;;;;;15;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;1;Temoin;;343;;;;;;;15;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;1;Temoin;;51;;;;;;;12;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;4;Exclos;;63;;;;;;;15;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;4;Exclos;;64;;;;;;;16;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;4;Temoin;;67;;;;;;;16;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;4;Temoin;;68;;;;;;;15;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;6;Exclos;;55;;;;;;;9;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;6;Exclos;;56;;;;;;;6;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;6;Temoin;;59;;;;;;;14;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;6;Temoin;;60;;;;;;;15;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;10;Exclos;;97;;;;;;;16;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;10;Exclos;;98;;;;;;;10;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;10;Temoin;;92;;;;;;;14;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;10;Temoin;;93;;;;;;;14;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;14;Exclos;;85;;;;;;;4;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;14;Exclos;;86;;;;;;;7;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;14;Temoin;;73;;;;;;;14;;;;;;;;;;;;;;;;;;;
17/06/19;ROC6;14;Temoin;;72;;;;;;;14;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Exclos;;150;;;;;;;6;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Exclos;;120;;;;;;;4;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Exclos;;102;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Exclos;;534;;;;;;;8;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Temoin;;118;;;;;;;11;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Temoin;;144;;;;;;;6;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Temoin;;104;;;;;;;10;;;;;;;;;;;;;;;;;;;
12/06/19;43;PA;Temoin;;145;;;;;;;6;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Exclos;;123;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Exclos;;127;;;;;;;4;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Exclos;;210;;;;;;;7;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Exclos;;112;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Temoin;;103;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Temoin;;224;;;;;;;6;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Temoin;;106;;;;;;;6;;;;;;;;;;;;;;;;;;;
12/06/19;26;PA;Temoin;;115;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;14;Exclos;;122;;;;;;;9;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;14;Exclos;;Vide;;;;;;;1;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;14;Temoin;;143;;;;;;;6;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;14;Temoin;;Vide;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;14;Temoin;;114;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;14;Temoin;;132;;;;;;;8;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Exclos;;336;;;;;;;14;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Exclos;;337;;;;;;;9;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Temoin;;341;;;;;;;7;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Temoin;;342;;;;;;;9;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Exclos;;331;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Exclos;;332;;;;;;;3;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Temoin;;324;;;;;;;10;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;4;Temoin;;325;;;;;;;11;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;10;Exclos;;321;;;;;;;4;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;10;Exclos;;322;;;;;;;4;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;10;Temoin;;316;;;;;;;8;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;10;Temoin;;317;;;;;;;5;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;1;Exclos;;309;;;;;;;9;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;1;Exclos;;310;;;;;;;9;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;1;Temoin;;306;;;;;;;9;;;;;;;;;;;;;;;;;;;
12/06/19;ROC7;1;Temoin;;307;;;;;;;10;;;;;;;;;;;;;;;;;;;
20/06/19;ROC7;10;Temoin;;;;;;;;;;;;;;;;9754715;7;20151592;;;;;;;;;;
20/06/19;ROC7;1;Temoin;;;;;;;;;;;;;;;;2368284;11;20177054;;;;;;;;;;
21/06/19;ROC6;1;Exclos;;;;;;;;;;;;;;;;2368285;11;20177031;;;;;;;;;;
20/06/19;ROC7;4;Exclos;;;;;;;;;;;;;;;;1010808;11;10169521;;;;;;;;;;
20/06/19;ROC7;6;Exclos;;;;;;;;;;;;;;;;10361667;12,5;20177057;;;;;;;;;;
20/06/19;ROC7;14;Temoin;;;;;;;;;;;;;;;;2368264;11;20151584;;;;;;;;;;
20/06/19;ROC7;14;Exclos;;;;;;;;;;;;;;;;2023617;17;20151590;Eau libre;;;;;;;;;
