Date;Parcelle;Traitement;Exclos;Sous_parcelle;Medaille;Temp_eau_thermique;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_Out;Prof_hobo;Hobo_In;Couv_hobo;EC_Smart;Humidity_Smart;Temp_Smart;Flux_CH4;Flux_CO2;Flux_H2O;Eau;Niveau_Eau;Remarque
07/07/17;ROC3;14;Exclos;;2;;;;Organique;;;1;;;;;;;;;;;;;;;;;;;
07/07/17;ROC3;14;Exclos;;3;;;;Organique;;;1;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;6;Temoin;;1;;;;Organique;92,7;8,3;15;;;;;;;;;20145728;;;;;;;;;;
30/06/17;ROC7;6;Temoin;;2;;;;Organique;94,2;8,6;15;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;6;Temoin;;3;;;;Organique;94,4;7,8;15;;;;;;;;;;;;;;;;;;;
11/07/17;ROC7;6;Exclos;;1;;;;Organique;;;1;;;;;;;;;10727383;;;;;;;;;;
11/07/17;ROC7;6;Exclos;;2;;;;Organique;;;1;;;;;;;;;;;;;;;;;;;
11/07/17;ROC7;6;Exclos;;3;;;;Organique;;;2;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;14;Temoin;;1;;;;Organique;96,2;4,8;14;;;;;;;;;20156715;;;;;;;;;;
30/06/17;ROC7;14;Temoin;;2;;;;Organique;75,9;4,9;11;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;14;Temoin;;3;;;;Organique;74,7;6,9;5;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;14;Exclos;;1;;;;Organique;98,3;4,6;14;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;14;Exclos;;2;;;;Organique;96,9;6,6;5;;;;;;;;;;;;;;;;;;;
30/06/17;ROC7;14;Exclos;;3;;;;Organique;35,4;5,2;10;;;;;;;;;20141227;;;;;;;;;;
02/07/17;ROC6;10;Temoin;;1;;;;Organique;84,1;8;19;;;;;;;;;20156686;;;;;;;;;;
02/07/17;ROC6;10;Temoin;;2;;;;Organique;89,5;7,8;16;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;10;Temoin;;3;;;;Organique;85,3;7,9;16;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;10;Exclos;;1;;;;Organique;86,8;6,3;13;;;;;;;;;20156767;;;;;;;;;;
02/07/17;ROC6;10;Exclos;;2;;;;Organique;85,2;4,5;15;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;10;Exclos;;3;;;;Organique;89,1;5,6;11;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;14;Temoin;;1;;;;Organique;90,2;9,4;18;;;;;;;;;20156712;;;;;;;;;;
02/07/17;ROC6;14;Temoin;;2;;;;Organique;88;10,1;18;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;14;Temoin;;3;;;;Organique;91;10,4;19;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;14;Exclos;;1;;;;Organique;82,5;8;19;;;;;;;;;20156690;;;;;;;;;;
02/07/17;ROC6;14;Exclos;;2;;;;Organique;85,2;6,1;16;;;;;;;;;;;;;;;;;;;
02/07/17;ROC6;14;Exclos;;3;;;;Organique;83,3;8,1;1;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;4;Temoin;;1;;;;Organique;87,8;7,4;17;;;;;;;;;20156765;;;;;;;;;;
30/06/17;ROC8;4;Temoin;;2;;;;Organique;85,7;5,4;19;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;4;Temoin;;3;;;;Organique;85,6;8,8;18;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;4;Exclos;;1;;;;Organique;89,8;7,6;15;;;;;;;;;20156705;;;;;;;;;;
30/06/17;ROC8;4;Exclos;;2;;;;Organique;88,1;7,8;18;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;4;Exclos;;3;;;;Organique;88,9;8,6;16;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;6;Temoin;;1;;;;Organique;92,2;8,9;16;;;;;;;;;20156713;;;;;;;;;;
30/06/17;ROC8;6;Temoin;;2;;;;Organique;94,1;8,6;17;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;6;Temoin;;3;;;;Organique;93,4;8,5;16;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;6;Exclos;;1;;;;Organique;93,3;6,3;16;;;;;;;;;20156684;;;;;;;;;;
30/06/17;ROC8;6;Exclos;;2;;;;Organique;91,8;8,3;13;;;;;;;;;;;;;;;;;;;
30/06/17;ROC8;6;Exclos;;3;;;;Organique;89,1;8,6;15;;;;;;;;;;;;;;;;;;;
13/07/17;A1;PR;Temoin;;1;;;;Organique;48,6;4,1;21;;;;;;;;;20177055;;;;;;;;;;
13/07/17;A1;PR;Temoin;;2;;;;Organique;23,8;4;14;;;;;;;;;;;;;;;;;;;
13/07/17;A1;PR;Temoin;;3;;;;Organique;25;3,7;16;;;;;;;;;;;;;;;;;;;
13/07/17;A1;PR;Exclos;;1;;;;Organique;48,8;4;20;;;;;;;;;20151594;;;;;;;;;;
13/07/17;A1;PR;Exclos;;2;;;;Organique;14,6;3,9;21;;;;;;;;;;;;;;;;;;;
13/07/17;A1;PR;Exclos;;3;;;;Organique;15,2;3,3;26;;;;;;;;;;;;;;;;;;;
13/07/17;72;PA;Temoin;;1;;;;Organique;57;4,3;22;;;;;;;;;20177033;;;;;;;;;;
13/07/17;72;PA;Temoin;;2;;;;Organique;77,3;4,6;22;;;;;;;;;;;;;;;;;;;
13/07/17;72;PA;Temoin;;3;;;;Organique;67,1;4,7;20;;;;;;;;;;;;;;;;;;;
13/07/17;72;PA;Exclos;;1;;;;Organique;76;5,4;13;;;;;;;;;20177025;;;;;;;;;;
13/07/17;72;PA;Exclos;;2;;;;Organique;31;4,6;19;;;;;;;;;;;;;;;;;;;
13/07/17;72;PA;Exclos;;3;;;;Organique;59,8;4,2;28;;;;;;;;;;;;;;;;;;;
13/07/17;E1;PO;Temoin;;1;;;;Organique;42;8,9;20;;;;;;;;;20156682;;;;;;;;;;
13/07/17;E1;PO;Temoin;;2;;;;Organique;29,8;5,3;11;;;;;;;;;;;;;;;;;;;
13/07/17;E1;PO;Temoin;;3;;;;Organique;39;5,7;23;;;;;;;;;;;;;;;;;;;
13/07/17;E1;PO;Exclos;;1;;;;Organique;24,2;6,5;20;;;;;;;;;10727378;;;;;;;;;;
13/07/17;E1;PO;Exclos;;2;;;;Organique;18,6;8,8;16;;;;;;;;;;;;;;;;;;;
