"Titre de tracé : 20156711"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20156711, SEN S/N: 20156711)","Coupleur attaché (LGR S/N: 20156711)","Hôte connecté (LGR S/N: 20156711)","Arrêté (LGR S/N: 20156711)","Fin de fichier (LGR S/N: 20156711)"
1,06/23/19 01:00:00 PM,12.497,,,,
2,06/23/19 02:00:00 PM,11.041,,,,
3,06/23/19 03:00:00 PM,9.373,,,,
4,06/23/19 04:00:00 PM,9.571,,,,
5,06/23/19 05:00:00 PM,9.176,,,,
6,06/23/19 06:00:00 PM,8.481,,,,
7,06/23/19 07:00:00 PM,7.782,,,,
8,06/23/19 08:00:00 PM,7.079,,,,
9,06/23/19 09:00:00 PM,6.471,,,,
10,06/23/19 10:00:00 PM,5.860,,,,
11,06/23/19 11:00:00 PM,5.244,,,,
12,06/24/19 12:00:00 AM,4.831,,,,
13,06/24/19 01:00:00 AM,4.415,,,,
14,06/24/19 02:00:00 AM,4.207,,,,
15,06/24/19 03:00:00 AM,3.893,,,,
16,06/24/19 04:00:00 AM,3.367,,,,
17,06/24/19 05:00:00 AM,2.943,,,,
18,06/24/19 06:00:00 AM,2.624,,,,
19,06/24/19 07:00:00 AM,2.517,,,,
20,06/24/19 08:00:00 AM,2.517,,,,
21,06/24/19 09:00:00 AM,2.730,,,,
22,06/24/19 10:00:00 AM,3.049,,,,
23,06/24/19 11:00:00 AM,3.998,,,,
24,06/24/19 12:00:00 PM,4.934,,,,
25,06/24/19 01:00:00 PM,5.347,,,,
26,06/24/19 02:00:00 PM,5.757,,,,
27,06/24/19 03:00:00 PM,6.471,,,,
28,06/24/19 04:00:00 PM,7.179,,,,
29,06/24/19 05:00:00 PM,7.882,,,,
30,06/24/19 06:00:00 PM,8.182,,,,
31,06/24/19 07:00:00 PM,8.282,,,,
32,06/24/19 08:00:00 PM,8.182,,,,
33,06/24/19 09:00:00 PM,7.782,,,,
34,06/24/19 10:00:00 PM,7.179,,,,
35,06/24/19 11:00:00 PM,6.573,,,,
36,06/25/19 12:00:00 AM,5.962,,,,
37,06/25/19 01:00:00 AM,5.347,,,,
38,06/25/19 02:00:00 AM,4.934,,,,
39,06/25/19 03:00:00 AM,4.415,,,,
40,06/25/19 04:00:00 AM,3.998,,,,
41,06/25/19 05:00:00 AM,3.683,,,,
42,06/25/19 06:00:00 AM,3.578,,,,
43,06/25/19 07:00:00 AM,4.102,,,,
